user_id,status_id,created_at,,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url
2815165980,1.50442E+18,2022-03-17T11:24:00Z,2022-03-17,playMotoGP,"Mandalika resurfacing complete: ""We're really confident"" https://t.co/u6Dc1031n8",drumup.io,80,NA,NA,NA,FALSE,FALSE,1,0,NA,NA,NA,NA,motogp.com/en/news/2022/0…,https://t.co/u6Dc1031n8,https://www.motogp.com/en/news/2022/03/16/mandalika-resurfacing-complete-we-re-really-confident/409820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/playMotoGP/status/1504418269859516418,MotoGP™ Racing,Worldwide on AppStores,MotoGP™ Official Mobile App of MotoGP. Download the game for FREE AppStore https://t.co/yN3eHosizz Google Play https://t.co/4OB45WaJbr by @GraemeWarring,https://t.co/xL0BXTJPCB,FALSE,43380,432,19,5126,770,2014-09-17T16:19:11Z,FALSE,https://t.co/xL0BXTJPCB,https://www.facebook.com/motogpchampionshipquest,NA,https://pbs.twimg.com/profile_banners/2815165980/1617751410,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1379575513602093056/PaYOINZK_normal.jpg
127926235,1.50438E+18,2022-03-17T09:09:33Z,2022-03-17,gponedotcom,"“It's early to talk about the details, we can do some things with the Yamaha, but not that many. I have an answer inside me. Mandalika will be a crazy race for everyone "" https://t.co/IYhdbM3b2O #motogp #AndreaDovizioso #Mandalika #indonesia",dlvr.it,241,NA,NA,NA,FALSE,FALSE,6,0,NA,NA,motogp AndreaDovizioso Mandalika indonesia,NA,gpone.com/en/2022/03/17/…,https://t.co/IYhdbM3b2O,https://www.gpone.com/en/2022/03/17/motogp/dovizioso-yamaha-there-are-a-lot-of-things-to-say-but-this-is-not-the-time.html?utm_source=dlvr.it&utm_medium=twitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/gponedotcom/status/1504384432022511617,GPOne.com,,"The leading site for MotoGP, Moto2, Moto3 & Superbike",https://t.co/y08zgCVD5u,FALSE,33649,141,513,60688,83,2010-03-30T16:52:12Z,FALSE,https://t.co/y08zgCVD5u,http://www.gpone.com,NA,https://pbs.twimg.com/profile_banners/127926235/1642696437,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1237055231206264833/XbmS6x5y_normal.jpg
127926235,1.5042E+18,2022-03-16T21:10:33Z,2022-03-16,gponedotcom,"Piero Taramasso: ""they are designed to control the temperatures more effectively, now I feel more confident for the race"" https://t.co/9D3O2lazW6 #motogp #michelin #pierotaramasso #Mandalika #gomme",dlvr.it,197,NA,NA,NA,FALSE,FALSE,6,0,NA,NA,motogp michelin pierotaramasso Mandalika gomme,NA,gpone.com/en/2022/03/16/…,https://t.co/9D3O2lazW6,https://www.gpone.com/en/2022/03/16/motogp/michelin-test-compounds-but-special-casings-for-the-mandalika-gp.html?utm_source=dlvr.it&utm_medium=twitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/gponedotcom/status/1504203489215332354,GPOne.com,,"The leading site for MotoGP, Moto2, Moto3 & Superbike",https://t.co/y08zgCVD5u,FALSE,33649,141,513,60688,83,2010-03-30T16:52:12Z,FALSE,https://t.co/y08zgCVD5u,http://www.gpone.com,NA,https://pbs.twimg.com/profile_banners/127926235/1642696437,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1237055231206264833/XbmS6x5y_normal.jpg
127926235,1.50448E+18,2022-03-17T15:47:04Z,2022-03-17,gponedotcom,"""The bike is working well, I need time. I'm not mentally weak or a robot, but pressure helps you to make progress and I'm on the road to being a better Maverick."" https://t.co/5QCIOM2jCj #motogp #MaverickVinales #Aprilia #Mandalika",dlvr.it,231,NA,NA,NA,FALSE,FALSE,4,0,NA,NA,motogp MaverickVinales Aprilia Mandalika,NA,gpone.com/en/2022/03/17/…,https://t.co/5QCIOM2jCj,https://www.gpone.com/en/2022/03/17/motogp/vinales-admits-adapting-to-the-aprilia-is-like-relearning-how-to-walk.html?utm_source=dlvr.it&utm_medium=twitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/gponedotcom/status/1504484470086270977,GPOne.com,,"The leading site for MotoGP, Moto2, Moto3 & Superbike",https://t.co/y08zgCVD5u,FALSE,33649,141,513,60688,83,2010-03-30T16:52:12Z,FALSE,https://t.co/y08zgCVD5u,http://www.gpone.com,NA,https://pbs.twimg.com/profile_banners/127926235/1642696437,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1237055231206264833/XbmS6x5y_normal.jpg
127926235,1.5044E+18,2022-03-17T10:28:33Z,2022-03-17,gponedotcom,"Pecco went back to talking about his outburst in Qatar: ""now everything is cleared up. The Mandalika GP will be an unknown factor for everyone, the tyres will be different and they will have less grip"" https://t.co/hND1AiKbae #motogp #peccobagnaia #ducati #Mandalika #qatar",dlvr.it,273,NA,NA,NA,FALSE,FALSE,2,0,NA,NA,motogp peccobagnaia ducati Mandalika qatar,NA,gpone.com/en/2022/03/17/…,https://t.co/hND1AiKbae,https://www.gpone.com/en/2022/03/17/motogp/bagnaia-ducati-doesnt-have-to-apologize-to-me-i-was-nervous-after-the-race.html?utm_source=dlvr.it&utm_medium=twitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/gponedotcom/status/1504404311844929541,GPOne.com,,"The leading site for MotoGP, Moto2, Moto3 & Superbike",https://t.co/y08zgCVD5u,FALSE,33649,141,513,60688,83,2010-03-30T16:52:12Z,FALSE,https://t.co/y08zgCVD5u,http://www.gpone.com,NA,https://pbs.twimg.com/profile_banners/127926235/1642696437,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1237055231206264833/XbmS6x5y_normal.jpg
127926235,1.50438E+18,2022-03-17T08:49:05Z,2022-03-17,gponedotcom,"""I think it's a good track for the Ducati."" Miller: ""I'm happy to put the Qatar race behind me, the season didn't get off to the start we hoped for"" https://t.co/ny0glMvrQ5 #motogp #peccobagnaia #JackMiller #Mandalika #ducati",dlvr.it,225,NA,NA,NA,FALSE,FALSE,9,1,NA,NA,motogp peccobagnaia JackMiller Mandalika ducati,NA,gpone.com/en/2022/03/17/…,https://t.co/ny0glMvrQ5,https://www.gpone.com/en/2022/03/17/motogp/pecco-bagnaia-aiming-to-work-more-on-riding-style-at-mandalika.html?utm_source=dlvr.it&utm_medium=twitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/gponedotcom/status/1504379279957581824,GPOne.com,,"The leading site for MotoGP, Moto2, Moto3 & Superbike",https://t.co/y08zgCVD5u,FALSE,33649,141,513,60688,83,2010-03-30T16:52:12Z,FALSE,https://t.co/y08zgCVD5u,http://www.gpone.com,NA,https://pbs.twimg.com/profile_banners/127926235/1642696437,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1237055231206264833/XbmS6x5y_normal.jpg
127926235,1.50443E+18,2022-03-17T12:12:32Z,2022-03-17,gponedotcom,"“Last year I was in a darkroom, but now there are windows too, I just have to figure out how to open them. I don't know how things will go in Indonesia, but it's too early to say if… https://t.co/5jkauyoYu2 #motogp #FrancoMorbidelli #MonsterEnergyYamaha #Mandalika #indonesia",dlvr.it,275,NA,NA,NA,FALSE,FALSE,6,0,NA,NA,motogp FrancoMorbidelli MonsterEnergyYamaha Mandalika indonesia,NA,gpone.com/en/2022/03/17/…,https://t.co/5jkauyoYu2,https://www.gpone.com/en/2022/03/17/motogp/morbidelli-i-have-to-find-a-way-how-to-open-the-yamaha-windows.html?utm_source=dlvr.it&utm_medium=twitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/gponedotcom/status/1504430483106832385,GPOne.com,,"The leading site for MotoGP, Moto2, Moto3 & Superbike",https://t.co/y08zgCVD5u,FALSE,33649,141,513,60688,83,2010-03-30T16:52:12Z,FALSE,https://t.co/y08zgCVD5u,http://www.gpone.com,NA,https://pbs.twimg.com/profile_banners/127926235/1642696437,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1237055231206264833/XbmS6x5y_normal.jpg
3091625068,1.50445E+18,2022-03-17T13:23:07Z,2022-03-17,McLarenMotoGP,"Luca Marini will revert to his Mandalika MotoGP test settings this weekend after enduring an opening round 'disaster' in Qatar.

https://t.co/BN7SUWemFO",Twitter Web App,152,NA,NA,NA,FALSE,FALSE,5,0,NA,NA,NA,NA,crash.net/motogp/news/99…,https://t.co/BN7SUWemFO,https://www.crash.net/motogp/news/998485/1/marini-rossi-34-races-maybe-bring-us-some-magic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/McLarenMotoGP/status/1504448245740625926,Peter McLaren,,"MotoGP Editor for https://t.co/PUmHVE6Pvd |
https://t.co/ugSlNgEDgE |
https://t.co/g7kmeGFSzb |
McLarenArchive (1940s-80s NZ Motorsport): https://t.co/7BPwJycUZ4",https://t.co/47Qn7R8BjA,FALSE,5863,608,123,13113,1748,2015-03-14T07:42:07Z,FALSE,https://t.co/47Qn7R8BjA,http://www.Crash.net/MotoGP,NA,https://pbs.twimg.com/profile_banners/3091625068/1522313667,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/972335184329740288/NpUAOV6A_normal.jpg
3091625068,1.5044E+18,2022-03-17T10:27:04Z,2022-03-17,McLarenMotoGP,"What we will find this weekend is crazy' - MotoGP riders face an unknown track surface, special tyre casing not seen since 2018 and 'insane heat' at Mandalika...

https://t.co/txNBV6hTth",Twitter Web App,186,NA,NA,NA,FALSE,FALSE,3,2,NA,NA,NA,NA,crash.net/motogp/feature…,https://t.co/txNBV6hTth,https://www.crash.net/motogp/feature/998469/1/motogp-riders-predict-crazy-complicated-mandalika-insane-heat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/McLarenMotoGP/status/1504403939667558401,Peter McLaren,,"MotoGP Editor for https://t.co/PUmHVE6Pvd |
https://t.co/ugSlNgEDgE |
https://t.co/g7kmeGFSzb |
McLarenArchive (1940s-80s NZ Motorsport): https://t.co/7BPwJycUZ4",https://t.co/47Qn7R8BjA,FALSE,5863,608,123,13113,1748,2015-03-14T07:42:07Z,FALSE,https://t.co/47Qn7R8BjA,http://www.Crash.net/MotoGP,NA,https://pbs.twimg.com/profile_banners/3091625068/1522313667,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/972335184329740288/NpUAOV6A_normal.jpg
14082692,1.50433E+18,2022-03-17T05:31:42Z,2022-03-17,MotoGP,"A very special weekend is about to start at Mandalika! ✊

Dorna Sports CEO, Carmelo Ezpeleta, shares his thoughts about the return of #MotoGP to Indonesia 🎙️

#IndonesianGP 🇮🇩 | 🎥
https://t.co/KW7L0raqyF",Twitter Web App,203,NA,NA,NA,FALSE,FALSE,471,64,NA,NA,MotoGP IndonesianGP,NA,motogp.com/en/videos/2022…,https://t.co/KW7L0raqyF,https://www.motogp.com/en/videos/2022/03/16/an-incredible-event-carmelo-ezpeleta/409842?utm_source=twitter.com&utm_medium=Social&utm_content=,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/MotoGP/status/1504329609302749186,MotoGP™🏁,,"First on the throttle, last on the brakes 🏁",https://t.co/zcYHJTkMsa,FALSE,3046684,285,10973,98561,10500,2008-03-05T11:19:05Z,TRUE,https://t.co/zcYHJTkMsa,http://www.motogp.com,NA,https://pbs.twimg.com/profile_banners/14082692/1646315484,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1500051390617505800/AKvgSEIj_normal.jpg
